id,lastLevel,totalSessions,dailySessions,totalAge,winRate,target
56338,23,22,3,104,0.9583,0.3283
56339,8,4,4,0,1.0,0.223
56340,9,2,2,0,1.0,0.0
56341,29,30,10,2,0.9511,0.2258
56342,8,2,1,1,1.0,0.0
56343,1385,11,1,52,0.75,0.3807
56344,3,1,1,0,1.0,0.0
56345,23,6,2,7,0.9565,0.0
56346,6,3,1,1,1.0,0.0
56347,8,5,5,0,1.0,0.2243
56348,93,64,3,82,0.7627,0.272
56349,16,5,1,2,0.9271,0.0
56350,1,1,1,0,1.0,0.0
56351,7,3,1,1,1.0,0.0
56352,23,24,1,110,0.7897,0.2956
56353,2,2,1,2,1.0,0.0
56354,77,13,2,16,0.9209,0.2291
56355,7,8,8,0,0.8333,0.0
56356,4,5,1,6,1.0,0.2254
56357,30,7,2,11,0.9611,0.2267
56358,47,15,1,24,0.8938,0.2272
56359,17,1,1,0,1.0,0.0
56360,1,4,2,2,1.0,0.2219
56361,17,8,1,16,0.9608,0.2294
56362,87,23,3,6,0.7417,0.0
56363,1,1,1,0,1.0,0.0
56364,2,1,1,0,1.0,0.0
56365,16,7,1,106,0.9688,0.3286
56366,11,6,1,59,1.0,0.2838
56367,5,3,1,1,1.0,0.0
56368,21,3,1,4,0.5,0.0
56369,157,4,1,26,0.5556,0.0
56370,26,6,2,78,0.875,0.2801
56371,143,116,6,123,0.9044,0.3597
56372,170,48,6,7,0.7744,0.0
56373,33,28,1,161,0.9268,0.3823
56374,155,18,3,38,0.7917,0.2353
56375,31,31,3,4,0.9624,0.222
56376,132,28,2,12,0.9605,0.2405
56377,8,22,1,17,1.0,0.2387
56378,2,3,3,0,1.0,0.0
56379,8,2,2,0,1.0,0.0
56380,1,1,1,0,1.0,0.0
56381,1,2,2,0,1.0,0.0
56382,78,51,3,46,0.8497,0.2495
56383,6,4,4,0,1.0,0.2228
56384,15,8,1,1,1.0,0.2214
56385,4,5,5,0,1.0,0.2238
56386,30,10,5,2,0.9778,0.2244
56387,22,8,2,0,0.913,0.0
56388,22,7,3,1,0.9444,0.0
56389,121,1,1,0,0.0,0.0
56390,88,206,3,312,0.693,0.5134
56391,84,79,1,68,0.8666,0.2768
56392,43,22,1,63,0.7883,0.2465
56393,27,4,2,0,0.9815,0.0
56394,9,3,1,2,1.0,0.2215
56395,11,1,1,0,0.0,0.0
56396,24,12,6,1,1.0,0.2289
56397,27,2,2,0,0.8929,0.0
56398,66,34,3,36,0.7938,0.2241
56399,16,8,1,22,1.0,0.2443
56400,1,2,1,83,1.0,0.3085
56401,13,1,1,0,1.0,0.0
56402,1072,11,1,11,1.0,0.3546
56403,175,3,1,7,0.9444,0.234
56404,22,8,4,1,1.0,0.2259
56405,2,2,2,0,1.0,0.0
56406,1,1,1,0,1.0,0.0
56407,9,6,6,0,1.0,0.2257
56408,27,11,1,5,0.8635,0.0
56409,1,1,1,0,1.0,0.0
56410,2,1,1,0,1.0,0.0
56411,11,3,1,0,1.0,0.0
56412,12,12,1,66,0.75,0.2373
56413,16,5,1,2,0.9412,0.0
56414,10,6,6,0,1.0,0.2258
56415,23,8,2,317,0.9783,0.5619
56416,15,10,1,253,0.9222,0.4781
56417,23,5,1,9,0.9583,0.2218
56418,6,4,2,1,1.0,0.2214
56419,4,4,4,0,1.0,0.2226
56420,10,1,1,0,0.8182,0.0
56421,24,15,2,10,0.9565,0.2243
56422,10,1,1,0,0.8167,0.0
56423,2,9,2,1,1.0,0.0
56424,2,1,1,0,1.0,0.0
56425,9,5,1,5,1.0,0.2249
56426,47,11,2,3,0.9681,0.2217
56427,10,4,2,15,1.0,0.2371
56428,16,6,1,6,1.0,0.2268
56429,5,3,3,0,1.0,0.0
56430,10,6,3,17,1.0,0.2406
56431,6,17,2,92,1.0,0.3209
56432,56,16,1,55,1.0,0.2852
56433,22,4,4,0,0.8478,0.0
56434,3,2,2,0,1.0,0.0
56435,42,35,1,70,0.7907,0.2552
56436,5,15,3,4,0.6239,0.0
56437,25,13,2,31,0.9423,0.244
56438,36,12,2,7,0.9848,0.2285
56439,11,6,2,3,1.0,0.2242
56440,5,2,2,0,1.0,0.0
56441,24,3,1,15,0.5167,0.0
56442,34,5,1,2,0.9524,0.0
56443,12,10,2,4,0.9583,0.0
56444,12,1,1,0,1.0,0.0
56445,62,30,2,35,0.8699,0.2377
56446,845,469,2,215,0.7821,0.5278
56447,244,157,12,24,0.6683,0.222
56448,510,57,2,192,0.6986,0.424
56449,15,6,2,2,1.0,0.2236
56450,13,3,1,1,1.0,0.0
56451,1,2,2,0,0.5,0.0
56452,35,15,5,3,1.0,0.2312
56453,142,218,3,114,0.7217,0.3116
56454,470,144,5,346,0.6396,0.582
56455,4,3,3,0,1.0,0.0
