time,value
1530835200,6546.8999
1530838800,6538.22021
1530842400,6547.95996
1530846000,6548.7998
1530849600,6532.990229999999
1530853200,6534.02979
1530856800,6513.490229999999
1530860400,6500.9502
1530864000,6534.02002
1530867600,6518.240229999999
1530871200,6545.6298799999995
1530874800,6544.009770000001
1530878400,6633.43994
1530882000,6589.02002
1530885600,6572.8701200000005
1530889200,6573.81006
1530892800,6579.68994
1530896400,6630.2002
1530900000,6612.25
1530903600,6584.0498
1530907200,6594.91016
1530910800,6589.6098600000005
1530914400,6624.5498
1530918000,6620.1401399999995
1530921600,6611.759770000001
1530925200,6600.490229999999
1530928800,6596.8999
1530932400,6605.3598600000005
1530936000,6619.7002
1530939600,6608.56006
1530943200,6597.79004
1530946800,6599.52979
1530950400,6598.95996
1530954000,6586.3701200000005
1530957600,6593.97998
1530961200,6593.8901399999995
1530964800,6612.52979
1530968400,6568.490229999999
1530972000,6591.20996
1530975600,6575.97021
1530979200,6573.70996
1530982800,6567.58984
1530986400,6559.22021
1530990000,6558.1001
1530993600,6547.02979
1530997200,6544.25
1531000800,6579.02979
1531004400,6814.41992
1531008000,6782.8501
1531011600,6753.1298799999995
1531015200,6749.7998
1531018800,6749.06006
1531022400,6729.7998
1531026000,6739.31006
1531029600,6740.33008
1531033200,6742.589840000001
1531036800,6743.0
1531040400,6737.569820000001
1531044000,6737.72998
1531047600,6741.08008
1531051200,6761.2202099999995
1531054800,6747.33008
1531058400,6762.0498
1531062000,6768.959959999999
1531065600,6758.839840000001
1531069200,6764.3798799999995
1531072800,6763.2797900000005
1531076400,6760.83008
1531080000,6765.02002
1531083600,6761.910159999999
1531087200,6758.819820000001
1531090800,6752.81006
1531094400,6727.06006
1531098000,6717.290040000001
1531101600,6706.0
1531105200,6717.81006
1531108800,6715.5498
1531112400,6706.54004
1531116000,6720.459959999999
1531119600,6739.25
1531123200,6729.41992
1531126800,6721.6499
1531130400,6702.509770000001
1531134000,6746.240229999999
1531137600,6725.6298799999995
1531141200,6739.10986
1531144800,6729.069820000001
1531148400,6737.7002
1531152000,6725.0
1531155600,6712.33008
1531159200,6711.759770000001
1531162800,6719.85986
1531166400,6718.25
1531170000,6724.4702099999995
1531173600,6803.1001
1531177200,6707.66992
1531180800,6683.6098600000005
1531184400,6678.06006
1531188000,6661.259770000001
1531191600,6656.3598600000005
1531195200,6656.3701200000005
1531198800,6652.18994
1531202400,6630.68994
1531206000,6612.4502
1531209600,6619.6201200000005
1531213200,6599.52979
1531216800,6482.95996
1531220400,6477.3501
1531224000,6380.6401399999995
1531227600,6399.6499
1531231200,6392.75
1531234800,6392.509770000001
1531238400,6411.33984
1531242000,6382.16992
1531245600,6389.52979
1531249200,6385.16016
1531252800,6404.509770000001
1531256400,6409.04004
1531260000,6389.02979
1531263600,6374.97998
1531267200,6400.77979
1531270800,6395.3501
1531274400,6377.77002
1531278000,6375.16992
1531281600,6365.16992
1531285200,6354.6499
1531288800,6346.180179999999
1531292400,6366.5
1531296000,6379.27002
1531299600,6381.3798799999995
1531303200,6357.319820000001
1531306800,6405.58984
1531310400,6394.93994
1531314000,6400.759770000001
1531317600,6386.680179999999
1531321200,6381.1201200000005
1531324800,6377.43994
1531328400,6381.77979
1531332000,6364.8901399999995
1531335600,6362.79004
1531339200,6387.509770000001
1531342800,6388.93994
1531346400,6390.47998
1531350000,6396.41016
